Grid search: 1 combinations x 10 sims each
  n_sigma:  [2.0]
  lambda2:  [1.5]
  Base:     output/experiment2
  Output:   output/grid6_*/
============================================================

============================================================
[1/1] n_sigma=2.0, lambda2=1.5
  Output: output/grid6_ns2.0_l21.5
============================================================
[INFO] Using device: mps
[INFO] Data shape: (2000, 95)
[INFO] RL train stocks: [60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]
[INFO] RL val stocks:   [80, 81, 82, 83, 84]
[INFO] Loaded transformer predictions from output/grid6_ns2.0_l21.5/checkpoints
[INFO] Normalization: mean=0.0000, std=0.0002
[INFO] Auto-loaded R²=0.5583 from transformer metrics
[INFO] Policy parameters: 4,677
[INFO] Env params: half_spread=0.0005, target_vol=0.02, R²=0.5583214163780212, n_sigma=2.0, tau=20, lambda2=1.5

 Iter    MeanRew    PolLoss      VLoss    Entropy         KL    EntCoef     LogStd     RewStd     Time
   54    -0.0000    -0.0004     0.0016     0.4380     0.0038     0.0004    -1.2053       0.36     2.5s
   55    -0.0000    -0.0005     0.0024     0.4130     0.0025     0.0004    -1.2172       0.35     2.5s
   56    -0.0000     0.0004     0.0024     0.3915     0.0024     0.0004    -1.2284       0.35     2.6s
   57    -0.0000     0.0000     0.0012     0.3678     0.0023     0.0004    -1.2391       0.35     2.5s
   58    -0.0000     0.0003     0.0013     0.3620     0.0025     0.0004    -1.2368       0.35     2.6s
   59    -0.0000     0.0002     0.0008     0.3618     0.0025     0.0004    -1.2405       0.34     2.5s
   60    -0.0000    -0.0000     0.0010     0.3597     0.0037     0.0004    -1.2391       0.34     2.6s
   61    -0.0000     0.0001     0.0007     0.3646     0.0026     0.0003    -1.2348       0.34     2.5s
   62    -0.0000    -0.0004     0.0009     0.3524     0.0031     0.0003    -1.2478       0.33     2.5s
   63    -0.0000     0.0007     0.0006     0.3410     0.0024     0.0003    -1.2508       0.33     2.5s
   64    -0.0000    -0.0001     0.0007     0.3395     0.0027     0.0003    -1.2481       0.33     2.5s
   65    -0.0000    -0.0003     0.0008     0.3417     0.0036     0.0003    -1.2475       0.33     2.6s
   66    -0.0000     0.0004     0.0008     0.3483     0.0027     0.0003    -1.2423       0.32     2.5s
   67    -0.0000    -0.0002     0.0013     0.3442     0.0022     0.0003    -1.2501       0.32     2.6s
   68    -0.0000     0.0000     0.0006     0.3403     0.0040     0.0003    -1.2480       0.32     2.6s
   69    -0.0000    -0.0010     0.0009     0.3512     0.0053     0.0003    -1.2386       0.32     2.6s
   70    -0.0000     0.0005     0.0007     0.3665     0.0026     0.0003    -1.2362       0.32     2.5s
   71    -0.0000    -0.0001     0.0007     0.3732     0.0035     0.0003    -1.2296       0.31     2.6s
   72    -0.0000    -0.0003     0.0009     0.3839     0.0034     0.0003    -1.2274       0.31     2.5s
   73    -0.0000    -0.0001     0.0009     0.3779     0.0020     0.0003    -1.2309       0.31     2.4s
   74    -0.0000    -0.0010     0.0030     0.3817     0.0033     0.0003    -1.2261       0.31     2.6s
   75    -0.0000    -0.0008     0.0017     0.3922     0.0040     0.0003    -1.2204       0.31     2.6s
   76    -0.0000    -0.0009     0.0019     0.3928     0.0031     0.0003    -1.2249       0.30     2.5s
   77    -0.0000    -0.0017     0.0008     0.4016     0.0054     0.0003    -1.2120       0.30     2.5s
   78    -0.0000     0.0002     0.0010     0.4036     0.0020     0.0003    -1.2207       0.30     2.6s
   79    -0.0000    -0.0004     0.0013     0.3800     0.0030     0.0003    -1.2336       0.30     2.5s
   80    -0.0000    -0.0013     0.0012     0.3751     0.0032     0.0003    -1.2317       0.30     2.6s
   81    -0.0000    -0.0002     0.0012     0.3589     0.0023     0.0003    -1.2460       0.29     2.5s
   82    -0.0000    -0.0001     0.0010     0.3420     0.0042     0.0003    -1.2492       0.29     2.5s
   83    -0.0000     0.0000     0.0014     0.3473     0.0039     0.0003    -1.2422       0.29     2.5s
   84    -0.0000     0.0004     0.0021     0.3533     0.0027     0.0003    -1.2424       0.29     2.4s
   85    -0.0000     0.0002     0.0012     0.3524     0.0024     0.0003    -1.2432       0.29     2.4s
   86    -0.0000    -0.0002     0.0009     0.3435     0.0034     0.0003    -1.2499       0.29     2.5s
   87    -0.0000    -0.0004     0.0013     0.3378     0.0032     0.0003    -1.2479       0.28     2.4s
   88    -0.0000    -0.0000     0.0022     0.3420     0.0033     0.0003    -1.2498       0.28     2.6s
   89    -0.0001    -0.0002     0.0026     0.3266     0.0027     0.0003    -1.2596       0.28     2.4s
   90    -0.0000     0.0003     0.0015     0.3189     0.0032     0.0003    -1.2601       0.28     2.6s
   91    -0.0000     0.0001     0.0007     0.3130     0.0026     0.0003    -1.2617       0.28     2.7s
   92    -0.0000    -0.0004     0.0005     0.3039     0.0029     0.0003    -1.2708       0.28     2.5s
   93    -0.0000    -0.0005     0.0029     0.2847     0.0032     0.0003    -1.2810       0.27     2.5s
   94    -0.0001     0.0000     0.0033     0.2784     0.0026     0.0003    -1.2769       0.27     2.4s
   95    -0.0000    -0.0006     0.0012     0.2756     0.0033     0.0003    -1.2840       0.27     2.6s
   96    -0.0000     0.0001     0.0018     0.2595     0.0028     0.0003    -1.2923       0.27     2.6s
   97    -0.0000    -0.0003     0.0006     0.2541     0.0031     0.0003    -1.2928       0.27     2.5s
   98    -0.0000    -0.0005     0.0011     0.2382     0.0028     0.0003    -1.3041       0.27     2.6s
   99    -0.0000    -0.0006     0.0020     0.2243     0.0031     0.0003    -1.3106       0.27     2.6s
  100    -0.0000     0.0003     0.0006     0.2124     0.0030     0.0003    -1.3149       0.26     2.6s
  101    -0.0000    -0.0007     0.0016     0.2022     0.0030     0.0003    -1.3198       0.26     2.6s
  102    -0.0000    -0.0003     0.0016     0.2012     0.0031     0.0002    -1.3181       0.26     2.6s
  103    -0.0000     0.0002     0.0005     0.1965     0.0032     0.0002    -1.3208       0.26     2.6s
