Grid search: 18 combinations x 10 sims each
  n_sigma:  [0.0, 0.1, 0.2, 0.5, 1.0, 2.0]
  lambda2:  [0.0, 1.5, 10.0]
  Base:     output/experiment2
  Output:   output/grid7_*/
============================================================

============================================================
[1/18] n_sigma=0.0, lambda2=0.0
  Output: output/grid7_ns0.0_l20.0
============================================================
[INFO] Using device: mps
[INFO] Data shape: (2000, 95)
[INFO] RL train stocks: [60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]
[INFO] RL val stocks:   [80, 81, 82, 83, 84]
[INFO] Loaded transformer predictions from output/grid7_ns0.0_l20.0/checkpoints
[INFO] Normalization: mean=0.0000, std=0.0002
[INFO] Auto-loaded R²=0.5583 from transformer metrics
[INFO] Policy parameters: 4,677
[INFO] Env params: half_spread=0.0005, target_vol=0.02, R²=0.5583214163780212, n_sigma=0.0, tau=20, lambda2=0.0

 Iter    MeanRew    PolLoss      VLoss    Entropy         KL    EntCoef     LogStd     RewStd     Time
   53    -0.0002    -0.0017     0.8921     1.5068     0.0025     0.0004    -0.6655       0.01     4.2s
   54    -0.0000    -0.0014     0.9046     1.4929     0.0019     0.0004    -0.6781       0.01     4.2s
   55    -0.0001    -0.0009     0.9335     1.4849     0.0024     0.0004    -0.6755       0.01     4.3s
   56    -0.0001    -0.0019     0.6892     1.4912     0.0025     0.0004    -0.6721       0.01     4.3s
   57    -0.0000    -0.0008     0.8493     1.4925     0.0025     0.0004    -0.6743       0.01     4.3s
   58    -0.0000    -0.0019     0.7247     1.4788     0.0025     0.0004    -0.6846       0.01     4.3s
   59    -0.0002    -0.0021     0.9350     1.4656     0.0028     0.0004    -0.6871       0.01     4.3s
   60    -0.0001    -0.0011     0.7431     1.4666     0.0019     0.0004    -0.6834       0.01     4.2s
   61    -0.0001    -0.0014     0.9361     1.4662     0.0038     0.0003    -0.6881       0.01     4.2s
   62    -0.0001    -0.0015     0.8570     1.4552     0.0027     0.0003    -0.6946       0.01     4.2s
   63    -0.0001    -0.0015     0.8388     1.4406     0.0012     0.0003    -0.7029       0.01     4.2s
   64    -0.0002    -0.0020     0.7624     1.4184     0.0036     0.0003    -0.7166       0.01     4.2s
   65    -0.0002    -0.0020     0.7850     1.4013     0.0035     0.0003    -0.7195       0.01     4.2s
   66    -0.0000    -0.0027     0.7969     1.3964     0.0052     0.0003    -0.7217       0.01     4.3s
   67    -0.0003    -0.0013     0.8137     1.3929     0.0028     0.0003    -0.7230       0.01     4.2s
   68    -0.0000    -0.0031     0.8298     1.3882     0.0036     0.0003    -0.7272       0.01     4.2s
   69    -0.0001    -0.0014     0.8751     1.3717     0.0023     0.0003    -0.7406       0.01     4.2s
   70    -0.0002    -0.0019     0.8117     1.3491     0.0050     0.0003    -0.7471       0.01     4.2s
   71    -0.0000    -0.0008     0.8639     1.3400     0.0022     0.0003    -0.7493       0.01     4.3s
   72    -0.0004    -0.0031     0.7698     1.3405     0.0045     0.0003    -0.7488       0.01     4.2s
   73    -0.0000    -0.0023     0.9179     1.3401     0.0038     0.0003    -0.7497       0.01     4.2s
   74    -0.0000    -0.0009     0.7499     1.3405     0.0028     0.0003    -0.7472       0.01     4.1s
   75    -0.0001    -0.0031     0.8302     1.3380     0.0029     0.0003    -0.7544       0.01     4.2s
   76    -0.0004    -0.0018     0.8817     1.3258     0.0029     0.0003    -0.7574       0.01     4.2s
   77    -0.0001    -0.0012     0.8587     1.3190     0.0024     0.0003    -0.7621       0.01     4.2s
   78    -0.0002    -0.0013     0.8230     1.3095     0.0031     0.0003    -0.7667       0.01     4.2s
   79    -0.0002    -0.0013     0.7007     1.2959     0.0031     0.0003    -0.7755       0.01     4.2s
   80     0.0001    -0.0012     0.8296     1.2922     0.0028     0.0003    -0.7696       0.01     4.2s
   81     0.0000    -0.0026     0.8392     1.2954     0.0046     0.0003    -0.7731       0.01     4.3s
   82    -0.0002    -0.0023     0.8026     1.2885     0.0074     0.0003    -0.7771       0.01     4.3s
   83    -0.0001    -0.0011     0.9190     1.2769     0.0044     0.0003    -0.7826       0.01     4.3s
   84    -0.0001    -0.0012     0.7798     1.2701     0.0036     0.0003    -0.7845       0.01     4.3s
   85    -0.0002    -0.0015     0.7072     1.2590     0.0026     0.0003    -0.7953       0.01     4.3s
   86    -0.0000    -0.0022     0.6591     1.2394     0.0050     0.0003    -0.8023       0.01     4.2s
   87    -0.0000    -0.0003     0.6052     1.2289     0.0018     0.0003    -0.8064       0.01     4.2s
   88    -0.0001    -0.0022     0.7710     1.2177     0.0027     0.0003    -0.8140       0.01     4.3s
   89    -0.0001    -0.0020     0.8124     1.1990     0.0036     0.0003    -0.8242       0.01     4.2s
   90    -0.0001    -0.0017     0.5703     1.1794     0.0013     0.0003    -0.8352       0.01     4.3s
   91    -0.0001    -0.0027     0.7027     1.1569     0.0042     0.0003    -0.8450       0.01     4.2s
   92    -0.0000    -0.0019     0.7323     1.1366     0.0036     0.0003    -0.8555       0.01     4.2s
   93     0.0000    -0.0012     0.4615     1.1203     0.0037     0.0003    -0.8621       0.01     4.2s
   94    -0.0001     0.0003     0.6006     1.1115     0.0027     0.0003    -0.8641       0.01     4.2s
   95    -0.0001    -0.0031     0.6637     1.1056     0.0053     0.0003    -0.8676       0.01     4.2s
   96     0.0000    -0.0010     0.7287     1.1000     0.0032     0.0003    -0.8703       0.01     4.2s
   97    -0.0001    -0.0027     0.7410     1.0911     0.0035     0.0003    -0.8755       0.01     4.2s
   98     0.0000    -0.0023     0.5041     1.0794     0.0039     0.0003    -0.8833       0.01     4.2s
   99    -0.0000    -0.0017     0.6324     1.0692     0.0048     0.0003    -0.8844       0.01     4.2s
  100    -0.0001    -0.0002     0.5513     1.0630     0.0024     0.0003    -0.8915       0.01     4.2s
  101    -0.0000    -0.0004     0.6371     1.0550     0.0021     0.0003    -0.8905       0.01     4.2s
  102    -0.0000    -0.0018     0.4261     1.0469     0.0034     0.0002    -0.8997       0.01     4.2s
  103    -0.0001    -0.0001     0.7401     1.0407     0.0033     0.0002    -0.8979       0.01     4.2s
  104     0.0000    -0.0019     0.5233     1.0397     0.0054     0.0002    -0.9010       0.01     4.2s
  105    -0.0000    -0.0015     0.6648     1.0415     0.0017     0.0002    -0.8955       0.01     4.2s
  106    -0.0000    -0.0010     0.4511     1.0424     0.0020     0.0002    -0.9005       0.01     4.2s
  107     0.0000    -0.0014     0.5323     1.0423     0.0020     0.0002    -0.8967       0.01     4.2s
  108    -0.0000    -0.0022     0.4389     1.0376     0.0021     0.0002    -0.9035       0.01     4.2s
  109     0.0000    -0.0011     0.5744     1.0250     0.0022     0.0002    -0.9092       0.01     4.2s
  110    -0.0000    -0.0022     0.4751     1.0194     0.0043     0.0002    -0.9084       0.01     4.2s
  111    -0.0001    -0.0005     0.6155     1.0114     0.0022     0.0002    -0.9174       0.01     4.2s
  112     0.0000    -0.0010     0.8400     1.0038     0.0054     0.0002    -0.9174       0.01     4.2s
  113     0.0000    -0.0006     0.6690     1.0055     0.0034     0.0002    -0.9163       0.01     4.2s
  114    -0.0000    -0.0013     0.7708     1.0050     0.0025     0.0002    -0.9178       0.01     4.3s
  115     0.0000    -0.0021     0.8767     0.9891     0.0039     0.0002    -0.9299       0.01     4.3s
  116     0.0000    -0.0028     0.5792     0.9744     0.0039     0.0002    -0.9338       0.01     4.3s
  117    -0.0001    -0.0004     0.7448     0.9669     0.0015     0.0002    -0.9380       0.01     4.2s
  118    -0.0001    -0.0016     0.6711     0.9633     0.0043     0.0002    -0.9366       0.01     4.2s
  119     0.0000    -0.0009     0.6199     0.9628     0.0034     0.0002    -0.9396       0.01     4.3s
  120    -0.0001    -0.0002     1.3125     0.9545     0.0048     0.0002    -0.9448       0.01     4.2s
  121    -0.0000    -0.0027     0.6742     0.9372     0.0037     0.0002    -0.9559       0.01     4.2s
  122     0.0001    -0.0007     0.7302     0.9235     0.0034     0.0002    -0.9590       0.01     4.3s
  123    -0.0000    -0.0018     0.8841     0.9172     0.0028     0.0002    -0.9617       0.01     4.3s
  124    -0.0000    -0.0004     0.6669     0.9116     0.0021     0.0002    -0.9653       0.01     4.3s
  125    -0.0001    -0.0008     0.8265     0.9082     0.0032     0.0002    -0.9638       0.01     4.3s
  126     0.0001    -0.0008     0.6376     0.9120     0.0037     0.0002    -0.9620       0.01     4.3s
  127    -0.0002    -0.0031     0.7381     0.9106     0.0041     0.0002    -0.9648       0.01     4.3s
  128    -0.0001    -0.0019     0.6342     0.8990     0.0022     0.0002    -0.9748       0.01     4.3s
